message,phonenumber
Hello guys,+11111111201
This is a text message to you,+11111111209
This is second text message to you,+11111111208
This is third text message to you,+11111111221
This is fourth text message to you,+11111111202
This is fifth text message to you,+11111111207
Are you alright,+11111111211
how are you doing,+11111111210
How was your day?,+11111111222
I am doing good,+11111111203
This is sixth text message to you,+11111111206
This is seventh text message to you,+11111111212
This is eighth text message to you,+11111111223
Nice to hear from you,+11111111204
welcome back guys,+11111111205
